日期,空壓機,冷氣_15T_,冷氣_20T_,電梯,對面廠房鍋爐,對面廠房軋紙機,對面廠房浪紙機,五色印刷機,空壓機_2_,水箱印刷冷卻機,成形機2台,覆膜機兩台,自動軋紙機2,自動軋紙機3,隔壁間冷氣,裁紙機,UV_IR機,六色印刷機,冷氣機2台__第一台_,冷氣機2台__第二台_,T_10T冷氣機,四色機
0.0,239.451,173.377,0.0,13.029,0.0,0.0,0.0,460.817,116.627,87.016,44.839,137.22,484.712,78.056,36.772,6.932,395.337,735.744,7.327,114.653,67.153,397.323
0.0,246.132,22.837,0.0,6.66,0.0,0.0,0.103,0.0,2.371,0.0,45.041,26.432,396.2,63.875,0.0,17.339,60.199,23.429,0.0,0.0,0.0,0.0
0.0,155.587,1.256,0.0,1.197,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.337,206.108,39.033,1.543,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,240.676,135.881,258.244,9.879,0.0,0.009,0.153,438.736,165.328,156.652,33.439,181.307,543.465,84.593,45.743,10.231,511.313,954.8,3.476,131.925,151.693,298.668
0.0,235.195,126.527,0.0,15.935,0.0,0.653,0.0,664.853,157.436,141.829,38.573,173.172,493.665,77.261,33.04,9.428,504.631,880.353,4.337,128.996,86.501,344.599
0.0,232.663,197.164,0.0,12.531,0.0,0.069,0.479,486.204,154.407,33.331,19.444,168.001,473.289,83.691,38.475,5.687,524.956,793.708,5.153,66.381,66.248,367.92
0.0,224.943,211.972,0.0,11.712,0.0,0.0,0.288,498.265,176.012,38.211,0.125,188.885,503.473,78.333,37.647,5.057,488.573,980.889,12.624,54.149,102.796,316.78
0.0,229.757,138.859,0.0,14.469,0.0,0.0,0.0,394.511,120.789,32.011,0.183,139.688,467.217,76.86,12.997,5.889,310.275,664.936,14.177,40.331,54.061,402.359
0.0,191.271,1.615,0.0,5.601,0.0,0.0,0.0,0.0,0.0,0.0,0.003,19.011,312.552,51.949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.369,0.0,1.236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,221.681,153.839,0.0,14.477,0.0,0.0,0.0,759.207,139.421,66.847,0.153,159.081,435.908,86.987,25.533,9.853,416.952,570.508,21.264,87.081,58.265,309.872
0.0,230.617,162.184,0.0,11.859,0.0,0.0,0.0,582.239,128.044,49.491,2.159,150.105,488.867,68.523,28.428,7.824,386.3,658.549,12.411,104.128,81.145,388.375
0.0,212.621,126.711,0.0,12.408,0.0,0.0,0.036,503.76,126.852,89.216,75.545,146.088,441.408,47.836,28.487,8.093,345.601,720.641,4.916,100.383,86.704,515.525
0.0,209.665,97.56,0.0,13.113,0.0,0.0,0.0,380.913,129.125,98.233,103.384,148.879,416.927,46.329,35.617,14.42,296.136,625.295,0.0,85.987,76.3,324.264
0.0,216.132,132.405,0.0,10.407,0.0,0.123,0.0,287.111,117.756,53.451,86.891,141.767,384.583,21.704,26.496,3.752,302.063,586.144,3.3,57.419,75.08,235.741
0.0,159.171,19.96,0.0,5.068,0.0,0.0,0.0,0.0,20.571,0.0,58.78,32.533,232.487,60.707,0.14,0.0,0.0,8.469,0.0,0.0,0.0,0.0
0.0,0.0,1.217,0.0,1.239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,244.368,124.215,0.0,14.557,0.0,0.0,0.0,667.825,171.481,77.563,58.964,181.897,512.585,88.655,52.021,2.567,568.151,889.815,6.581,72.784,91.523,391.808
0.0,215.829,148.645,0.0,16.963,0.0,0.0,0.0,560.888,177.227,136.136,34.02,198.344,475.3,74.883,47.088,1.952,555.823,1126.604,7.485,90.392,101.915,386.857
0.0,211.792,110.583,0.0,12.223,0.0,0.0,0.087,328.641,142.408,82.304,50.376,170.791,445.457,65.128,47.875,6.165,309.54,636.397,3.232,52.567,85.515,349.544
0.0,211.311,137.048,0.0,11.803,0.0,0.0,0.0,461.056,164.799,45.023,50.607,187.42,422.323,50.288,57.271,5.012,458.928,748.291,0.068,63.073,69.159,310.371
0.0,209.584,139.347,0.0,13.427,0.0,0.0,0.055,510.993,157.336,27.137,117.221,177.215,477.249,76.652,62.693,8.576,356.643,586.668,1.641,62.299,56.964,285.663
0.0,15.299,2.021,0.0,1.465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,17.188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.035
0.0,0.0,1.576,0.0,1.236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,223.159,103.775,0.0,13.212,0.0,0.0,0.087,758.416,184.121,8.625,76.711,203.155,461.175,73.735,54.721,5.06,487.612,672.489,0.0,35.376,17.639,309.407
0.0,202.059,121.304,0.0,11.8,0.0,0.027,0.0,641.183,176.62,42.881,71.676,195.235,406.516,61.775,55.731,3.355,507.484,849.723,0.0,29.959,45.077,305.047
0.0,220.973,142.341,0.0,9.213,0.0,0.932,0.0,483.192,165.017,29.079,30.385,186.415,438.711,68.379,45.859,7.236,430.836,732.504,0.0,0.0,48.189,375.027
0.0,221.085,124.747,0.0,9.161,0.0,1.227,0.0,593.599,166.465,7.233,0.187,187.451,428.835,50.911,41.616,7.735,406.519,630.875,0.0,39.339,16.985,350.071
0.0,220.964,159.421,0.0,9.743,0.0,2.069,0.287,549.219,167.635,29.128,0.2,188.212,446.025,55.685,40.769,7.96,559.857,854.213,0.0,51.501,30.22,265.009
0.0,144.507,1.485,0.0,2.057,0.0,0.0,0.0,0.0,0.0,0.0,0.035,6.767,217.637,30.904,30.659,0.0,0.0,0.0,0.001,0.0,0.0,0.0
0.0,0.0,1.413,0.0,1.252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,228.668,138.899,0.0,11.403,0.0,0.269,0.183,418.608,177.567,7.581,64.984,199.344,445.493,55.553,53.343,6.099,798.067,1005.74,0.0,0.0,36.144,430.287
0.0,219.607,182.444,0.0,10.925,0.0,0.0,0.0,728.924,165.763,5.927,0.303,188.436,447.431,72.567,42.472,10.344,502.28,732.296,0.0,0.0,24.368,368.007
0.0,231.881,174.847,0.0,10.332,0.0,0.0,0.0,466.603,145.968,4.393,0.308,168.795,443.385,61.388,40.26,5.097,352.849,557.356,3.875,0.0,14.045,361.147
0.0,182.329,170.097,0.0,11.069,0.0,0.0,0.0,470.784,145.532,7.575,0.053,161.771,391.663,32.023,40.524,1.807,421.811,657.169,0.0,0.0,26.368,316.016
0.0,157.729,114.567,0.0,8.077,0.0,0.0,0.0,284.393,97.572,5.571,0.004,119.975,307.492,24.845,29.764,2.984,259.267,554.287,3.399,0.003,20.072,216.085
